Başlık,Şikayet
Teslimat Kodu Gelmediği İçin Kargomu Alamıyorum,"Ben N11'den bir ürün siparişi verdim. Kargomu teslimat noktası olarak belirledim ama bana kod gelmedi. Müşteri hizmetlerini aradım, bana 1 ile 3 iş günü içinde geri dönüş sağlanacağını söylediler. Böyle bir durum olabilir mi? Sırf kod gelmediği için kargomu alamıyorum ve üstüne üstlük bana geri dönüş yapmalarını beklemek zorunda kalıyorum."
Kullanılmamış Ürünlerin İadesinde Zorluk Yaşadım,"N11 internet alışveriş sitesinde purebaby adlı satıcıdan biri 12 paket ıslak mendilden oluşan 2 adet toplamda 24 paket ıslak mendil satın aldım. 24 paketten sadece 1 paketi açtım, kullandım ve üründen memnun kalmadım. 23 paketi iade etmek istedim. Satıcıya durumu ilettiğimde 24 paketin hepsinin kullanılmamış olarak iade edildiğinde kabul edileceğini ifade etti. N11 prestijli bir alışveriş sitesi olma imajını korumak istiyorsa durumu Tüketici Hakları çerçevesinde müşterisini mağdur etmeyecek çözümü sunmalıdır."
"Siparişim Gelmedi, İade Süreci Ve Çözüm Yetersizliği Yaşadım","N11 her zamanki gibi yine mağdur etti. İki tane motosiklet dizliği aldım, yola çıkacaktım, bir haftadan fazla oldu. Gelmedi, bakayım dedim, kargo takibini kontrol ettim; bir de ne göreyim, ikisi de gelmiş güya, kapıya not bırakılmış ama hayal dünyasında! İkisi de geri iade gitmiş. Param kim bilir ne zaman geri yatacak, daha kargoda geri iadede. Müşteri hizmetleriyse 100 TL'lik kuponla müşteriyi memnun etmek istiyor. Mağdur edildikten sonra böyle bir çözüm sunulması gerçekten şaşırtıcı."
"Evden İade Hizmeti Sözde Var, Gerçekte Yok!","N11 mağazasından kısa zaman içerisinde 2 farklı ürün aldım. 1. Sini beğenmediğim için iade etmek istedim. Bana evden almamı ister misiniz. Seçeneği sunuldu, evet dedim ve sunulan tarihlerden 1 tanesini seçtim. Kargo firması almaya gelmedi. Kendim önerilen kargo firmalarından 1 tanesine giderek teslim ettim. 2. Ürünü de iade etmek istediğimde aynı tercihleri yaptım ve yine ürünü almaya gelmediler. Gece geç saatlerde gelen mail ile iade talebini iptal ederek yeniden evden alma tercihlerini işaretledim, bekliyorum, halen gelmediler, mesaj da yok. Tel ile ulaştığım müşteri hizmetleri de çözüm sunmuyor.
Sonuç olarak; bize kolaylık diye sunulan hizmet N11 tarafından ya da kargo firması tarafından yerine getirilmiyor. Sizler de bu kandırmacayı önemsemeyin."
Kargoya Verilmediği Halde Yanıltıcı Bilgilendirme Ve Ürün Teslim Edilmemesi,"Merhaba,"
N11 Ürün İptali Ve Ücret İadesinde Yaşanan Sorunlar,"N11'den aldığım ürünler iptal edildi ve üyeliğim donduruldu. Ücret iadesi ise sağlanmadı. Müşteri hizmetlerini aradığımda, ücret iadesi için 24 saat sonra tekrar aramam gerektiği söyleniyor. 24 saat geçtikten sonra tekrar aradığımda ise bir 24 saat daha beklememi istiyorlar. Ayrıca, bankayla iletişim kuramadıklarını belirtiyorlar. Böyle bir sistemin, böyle bir şirkete yakışmadığını düşünüyorum."
Üretim Hatalı Ayakkabı İçin İade Reddi: Param Boşa Gitti,"N11 üzerinden, 22 Mart 2025 tarihinde Koray Spor mağazasından almış olduğum adidas handball spezial ayakkabının, üç ay günlük kullanımda, üst tarafından dikişleri attı. Dikişlerde herhangi bir darbe, kesilme vs yok. Ayakkabıda üretim hatası olduğu apaçık belli olmasına rağmen iade talebim geri çevrildi. N11 ve Koray Spor'dan son alışverişim olacak. Kimse bu paraları kolay kazanmıyor. Hakkımı helal etmiyorum."
Yurt Dışı Sipariş Sonrası WhatsApp Üzerinden Şüpheli Mesaj Aldım Tedirgin Oldum,"02.07.2025 tarihinde N11 vasıtasıyla yurt dışından gelen bir ürün için sipariş verdim ve akabinde WhatsApp uygulaması üzerinden yurt dışından bir numara (+86 ile başlayan ) ""Merhaba arkadaşım, az önce bir saklama çantası sipariş verdiğini gördüm. Sana resim atarak bu renk mi diye teyit edeceğim."" şeklinde bir mesaj attı. Ürünün görselini yolladığı bir resim ile. Bu durum şüpheli ve tedirgin edici olması sebebi ile N11 müşteri hizmetlerine durumu bildirdim. Aldığım cevap ise satıcıların iletişime geçmesi yasak biz onları uyaralım şeklinde idi. Tedirginliğim daha da arttı, artık bu durumu normalleştirmişler ne yazık ki. Şu mesajın bilgilerimi almaya yönelik olduğu o kadar aşikar ki, kimse bu durumdan rahatsızlık duymuyor."
Siparişimin Kargoya Verilmemesi Ve Fiyat Artışı Mağduriyeti,"N11 üzerinden Road Life'dan motorcu eldiveni aldım. Bir hafta geçmesine rağmen kargoya verilmedi. Her yazdığımda, eldivenin bugün kargoya verileceği söylenip sürekli erteleniyor. 1300 TL'ye aldığım eldiven şu anda 2400 TL olduğu için gönderim yapılmıyor. Böyle bir durum görmedim. Paramın boşa gitmesine mi üzüleyim, yoksa diğer indirimlerden yararlanamadığıma mı?"
N11 Sepette İndirim Ve Kupon Oyunu Mağduriyeti,"N11 üzerinden yapılan alışverişlerde, özellikle teknoloji ürünlerinde sepette indirim adı altında tanımlanan kuponlar kullanılamıyor. N11 buna defalarca uyardığımız halde izin veriyor. Ekte resimler de mevcut. Bir ürüne sepette 250 TL indirim tanımlanıyor, ancak N11'in sunduğu 250 TL indirim kuponunu kullanmak istediğinizde, sepette indirim olduğu gerekçesiyle bu sözde indirimi kaldırıyorlar ve ürünü yine aynı fiyata almış oluyorsunuz. Hemen hemen her üründe bu sepette indirim hikayesi mevcut ve biz N11'i bu konuda uyarıyoruz, ancak göz yumuyorlar. Yani tanımlanan kuponlar gerçekte işe yaramıyor. Firmalar da zarar görmemek için muhtemelen N11 ile danışıklı olarak bu yolu bulmuşlar. Sizde kuponunuz var sanıyorsunuz, fakat ürünü yine aynı fiyata alıyorsunuz."
"İade Süreci Tamamlanmadı, Param Ve Ürünlerim Yok","N11 Alışveriş sitesinde sembolgold mağazasından şipariş verdim, ödemesini yaptım, 15 gün koşulsuz iade yazıyordu. Ürünler geldiği gün ölçüleri uygun olmadığı için aynı gün iade yaptım 23.06.2025. Mağaza bilgilendirmesi 30.06.2025 tarihinde iade süreciniz sonuçlanacak şeklindeydi, ancak 02.07.2025 tarihi itibariyle henüz talebim sonuçlanmadı. N11 müşteri hizmetleriyle görüştüğümde yasal mevzuat gereği para iadesi yapmayacaklarını bilgisini verdiler. Ortada ürünlerde yok, paramda yok, güven sarsıcı bu konuda gereğinin yapılmasını talep etmekteyim."
N11'den Aldığım SSD Ne Değiştirildi Ne İade Edildi,"N11'den SSD hard disk satın almıştım, üründe sorun yaşadım. Garantiye gönderdim; garanti, ürünü tamir etmedi, değiştirmedi, sadece bir mektup verdi. Bu mektupla ürünü N11'den değiştirebileceğimi söylediler. Ben de değişim için ürünü göndermeden önce arayıp teyit ettim, tamam değiştireceğiz dediler ancak değiştirmediler. Ürün de geri gelmiyor, değişim de yapılmadı. 1 aydır uğraşıyorum, bozuk ürünümü istiyorum. O da gelmiyor. Bir daha asla alışveriş yapmam. Çok sorumsuzlar, ilgi ve alaka sıfır. Müşteri hizmetlerinde sürekli aynı şeyleri söylüyorlar. Ürünüme el koydular."
N11 Ve Mediamarkt Üzerinden Aldığım Scooterın Kargo Takibini Yapamıyorum,"Merhabalar, 25 Haziran'da N11 üzerinden RX4 scooter aldım. 27 Haziran'da kargolandığı görünüyor ama takip edemiyorum. N11 ve Mediamarkt'ı aradığımda onlar da göremiyor. Bugün 1 Temmuz, hâlâ bekliyorum ve ne zaman geleceği hakkında hiç bilgi yok. Mediamarkt gibi büyük bir şirketin bu kadar acemi olmaması lazım."
N11den Alınan Ürün Bir Haftadır Kargoya Verilmedi Müşteri Hizmetleri Çözüm Sunmadı,N11 mağazasından ürün aldım yaklaşık 1 haftadır ürün kargoya verilmedi. Müşteri hizmetlerinden yardım talep ettim. Ürünü iptali yapamadım çünkü fiyatı değişti belki kargolayabilirler diye konuşmak istedim. Mağduriyetimi giderirsiniz dediğimde hayır cevabı aldım 🙄
N11 Yanlış Siparişin İptal Edilememesi ve Destek Eksikliği,"201459244535 numaralı siparişimi yanlışlıkla verdim. Siparişi vermemle iptal butonuna tıklamam arasında 30 saniye geçti fakat siparişim iptal edilmedi. Nedeni ise Media Markt isimli satıcının siparişi otomatik olarak 'hazırlanıyor' konumuna düşürmesi. Bu nedenle iptal edemedim. Soru sorun kısmından yazdığım mesaja da cevap verilmedi. N11 müşteri temsilcisine de durumu anlattım, ancak 'bizim yapacak bir şeyimiz yok' dediler."
"N11.com'dan Aldığım Klimanın Teslimatı Gecikti, Müşteri Hizmetlerinden Destek Alamadım",13.06.2025 tarihinde n. 11 sitesinde Daikin 12.000 sensira marka klima sipariş ettim kargom 14.06.2025 tarihinde yola çıkmış ve 19.06.2025 tarihinden itibaren Horoz Lojistik firmasında beklemede ve sipariş ettiğimde olası teslim tarihi 18.06.2025 olarak görünmekteydi. Defalarca aramama rağmen ne bir yetkiliye ulaşabildim ne de çözüm üretebildiler. 01.07.2025 tarihinde n. 11 i aradığımda şu an ise 5 temmuzda teslim planlamaktadır. Denildi. Büyük kargolarda teslim tarihleri 7 ile 10 iş günü arasında diye sipariş ettim ancak 16 iş gününde hala kargom elime ulaşmadı. N11.com pişmanlıktır. Muhatap yoktur. Çözüm yoktur
Siparişimin Kargoya Verilmemesi Ve Çözüm Sunulmaması Mağduriyet Yaratıyor,N11'den ürün sipariş ettim. Ürün 1 haftadır kargoya verilmedi. Smartevim firması kargo ve N11'e suç atıyor. N11 Smartevim firmasına suç atıyor. Ne makinenin durumu ne de N11 in çözüm merkezinin ne zaman geri döneceği belli. Bekle diyorlar neyi ne kadar bekleyeceğim belli değil.
"N11 İade Talebim Onaylanmıyor, Yanlış Ürün Bilgisiyle İletişim Kuruluyor","N11'den Xiaomi 15 Ultra 16 GB 512 GB (Xiaomi Türkiye Garantili) Siyah 512 GB almıştım. Satıcı sizsiniz yani N11. 201682673731 sipariş numaralı ürünün sadece dış kutusunu açtım, telefonun hiç kullanmadım, kurulumunu hiç yapmadım ve sim kartı takmadım."
"Siparişim Kargolanmadı, İptal Edemiyorum Ve Destek Alamıyorum","N11 üzerinden Media Markt'tan bir scooter siparişi verdim fakat bir hafta olacak, siparişim kargolanmadı. N11'i aradım, Media Markt'ı aradım, ürünü iptal etmeye çalıştım; olmaz dediler. Ürün gelmeden bildirim gönderdim, açıklama yapılacak dendi. Mesaj gönderdim, fotoğraflar da mevcut, hiçbir sonuç alamadım. Bu iki firmanın sahibi kimse bu duruma ulaşsın. Tüketici Hakları'na da, depremzede olarak, başvuracağım. Çocuğumun karne hediyesiydi, perişan ettiler bizi."
"N11'de İndirimli Ürünler Gönderilmiyor, Mağduriyet Çözülmüyor",N11 den indirimden aldığım hiçbir ürün gönderilmiyor. Diğer pazar yerlerinde ne fiyatlara ne ürünler aldık gönderildi. Göndermeyeceklerse yaptırmayın satıcılarına indirim. 500 liralık ürün de iptal edilse 50 TL 9k lik ürün iptal edilse de 50 TL kupon verip duruluyor. Saçma sapan bir sistem mağduriyet giderilmiyor tüketicinin yanında değil.
Yanlış Ürün Gönderimi Ve İade Sürecindeki Sorumsuzluk Mağduriyeti,"Mağazanızdan Tommy çanta satın almış bulundum. Farklı bir çanta gönderildi. Kargo elim elime 27.05.2025 Cuma akşamı geçti. Pazartesi sabah yurt dışına uçuşum vardı. Mağazaya yazdım. Bazen böyle hatalar olabiliyor yanıtı aldım. Ürün iadesi için kapıdan alma seçeneği vardı cumartesi alınabilir. Seçeneğini seçtim alınmadı, canlı desteğe sordum tekrar kod oluşturun dendi. Kodu oluşturup ürünü kapıya koyup yurt dışına geldim. Ve iki ay yurda dönme imkanım yok. Ürün hala kapıda ve alınmamış görünüyor. Tarafınıza yazdığımda kargo yoğundur elden teslim ediniz deniyor, evden alınma seçeneği neden var? Madem bu özelliği beceremiyorsunuz neden bizleri oyalıyorsunuz? Hem ürünü tamamen yanlış gönderip hem de sorunu çözmüyorsunuz aldığım ürün ve gelen ürün görsellerini ekliyorum. Şahsım adına bir daha bu firmanın kıyısından köşesinden geçmeyecek uygulamayı telefonumdan sileceğim. Böyle bir beceriksizlik olamaz. Satın almış olduğum ürün gelse bana amenna farklı bir ürün gönderip mağduriyet yaşatıp bu tarifeyi uygulayamazsınız bana"
Yanlış Ve Hasarlı Ürün Gönderimiyle Mağdur Edildim,"202543173734 numaralı siparişimde, Sembolgold satıcısından N11 üzerinden aldığım 14 ayar altın kelepçe ile ilgili sorun yaşıyorum. Satıcıya daha ilk gün 68 ölçü göndermelerini söyledim, ancak küçük göndermişler. Bileğime uymadı, kargo gelir gelmez denedim ve satıcı ile iletişime geçtim. 'Gönderin, değişim yapalım, büyüğü ile değiştiririz' dediler. Ürünü gönderdim, bugün satıcıya ulaşmış. Satıcı bana ürünün hasarlı olduğunu söylüyor, ancak asıl kendisi bana hasarlı ürün göndermiş. Sanki ürünün sorumluluğu bana aitmiş gibi davranıyor. Aynı gün takip yapmadığım için iletişim kurduğum ürün nasıl hasarlı olabilir? Size soruyorum, belli ki ürünü de küçük gönderdiğine göre bana oyun oynanmış. Satıcıya gerekli yaptırımın uygulanmasını ve ücretimin iadesini talep ediyorum."
N11 Yanlış Adresli Siparişte Çözüm Sunulmaması Mağduriyet Yaşattı,"N11.com üzerinden sipariş ettiğim ürünü yanlışlıkla hatalı adrese yönlendirdiğimi kısa sürede fark ettim. Siparişten yalnızca 2 dakika sonra, ürün satıcı firma tarafından otomatik olarak onaylandı. Ürünü iptal etmek istedim fakat onaylandığı için iptal işlemi yapılamadı. N11.com müşteri hizmetleri ile görüştüm ve adres değişikliği talebinde bulundum. Ancak ürün onaylandığı için bu işlemin mümkün olmadığını, ürünü teslim aldıktan sonra iade edebileceğimi belirttiler. Teslim alamayacağımı ve ürünün başka bir kişiye teslim edileceğini söylediğimde ise başka bir çözüm sunulmadı. Ardından satıcı firmaya, Media Markt’a ulaştım. Onlar da aynı şekilde ürünü teslim alıp iade etmem gerektiğini ifade etti. Sipariş vereli sadece 5 dakika olmuştu fakat kimse adres değişikliği yapamayacağını söyledi. Ürün kargoya verildikten sonra hemen iade talebinde bulundum. Buna rağmen Kargo Express ile 24 saat içinde teslim edildi. Oysa beklesem normalde 4 günde gelirdi. Sistemin işleyişine anlam veremedim. O anlık ihtiyacım olan bir üründü ve yardımcı olunmadı. Basit bir düzeltme yapılamadı. T***’da benzer bir sorun yaşadığımda hemen çözülmüştü. Siparişimi onaylayan Media Markt, iade talebimi dikkate almadı ve ürünü teslim ettikten sonra iade işlemini iptal etti. Durumla ilgili görsel de ekte yer almaktadır."
Kargolanmayan Ürün Ve Fiyat Artışı Mağduriyeti,Ürünüm belirtilen süre içerisinden hala kargolanmadı. N11 gibi büyük bir firma bu olayı çözemedi ben ürünümü istiyorum. 16.005 bin TL'ye aldığım ürün şu an 21.049 bin tl olmuş. Fiyat yükseldiği için ürünümü kargolamıyorlar. Ben ürünümü istiyorum. Hakkım olanı istiyorum.
Media Markt Bosch Klima Teslimatı Gecikti Ve Bilgi Verilmedi,"23 Haziran 2025 tarihinde N11 aracılığıyla Media Markt adlı mağazadan Bosch Climate 3000i 24.000 BTU duvar tipi klima aldım. Almadan önce satıcıya ürünün kapalı kutu olup olmadığını sordum ve evet cevabını aldım, yani ürün ellerinde vardı. Teslim tarihi 2 Temmuz olarak belirtiliyordu. 26 Haziran Cuma günü sabah Media Markt kargo teslim için beni aradığında, adreste mahallenin eksik yazıldığı söylendi (N11 üyeliğimde adresim doğru olmasına rağmen) ve bu nedenle belki akşam üzeri, olmazsa 27 Haziran'da teslim edileceği belirtildi. Akşam üzeri ise ürünün iade edileceği ve teslim edilmeyeceği söylendi, oysa benim iade talebim olmamıştı. Bunun üzerine defalarca mağaza ile iletişim kurmaya çalıştım fakat bana asla dönüş yapılmadı. N11 ile birçok kez görüştüğümde ise 29 Haziran'da çözüm merkezinin araştıracağı belirtildi. Bu arada mağaza tarafından 2 Temmuz olan teslim tarihi önce 4 Temmuz'a, bugün ise 7 Temmuz'a ertelendi ve asla kargo takip bilgisi eklenmedi. Sanırım bunun nedeni ürüne zam gelmiş olması ve bana aldığım fiyattan ürünü satmak istememeleri. Hâlâ bir çözüm ve açıklama yok. Acil olarak Media Markt tarafından bir açıklama bekliyorum."
N11 Ve Profiloistanbul Satıcısından Geciken Teslimat Ve İlgisiz Müşteri Hizmeti,"21.06.2025 tarihinde N11 sitesindeki profiloistanbul isimli satıcıdan ankastre ocak seti sipariş verdim. Ürünün tahmini gönderilme tarihi 25 Haziran çarşamba yazmasına rağmen 10 gündür hazırlanıyor. Aşamasında bekliyor. Satıcı, siparişimin durumuyla ilgili her sorduğum soruya gönderilmesi hakkında arayıp bilgilendireceklerini söylüyor ancak Ne arayan var ne soran. Sorularımı devam ettirince ise umursamaz bir şekilde ürünün tedarik aşamasında olduğunu istersem iptal edebileceğimi söyledi. Günlerce bekletip sonra isterseniz iptal edin. Demek nasıl bir saygısızlık? Verdiği cevaplar çok ilgisiz ve N11 müşteri temsilcileri de hiçbir şekilde yardımcı olmadılar. Yeni evliyim ve teslimatın acil olduğunu da belirttim ancak umurlarında değil. Ocak gelmediği için doğalgazı da açtıramıyoruz günlerdir ocaksız kaldık hala bekliyoruz. Teslimat hızlı göründüğü için sipariş verdik ama bin pişman olduk. Satıcı elinde olmayan ürünün satışını yapıp tedarik için günlerdir bizi bekletiyor mağdur durumdayız. Hem N11 hem de profiloistanbul isimli bu satıcıdan şikayetçiyim. Ürünün en ama en kısa zamanda teslimatını istiyorum."
